Referencia;Nombre;Categoría;Definicion;Caracteristicas
1617;MARTILLO CAB CONICA MADERA 25 MM;HERRAMIENTA MANUAL;;
1621;MASILLA AUTOMOTRIZ POLIESTER P1500 1/4 G P;PINTURAS Y DISOLVENTES;;
1630;MASILLA PEQUEï¿½A RALLY ORIGINAL;PEGANTES;;
1681;"NIPLE GALVANIZADO KAUDAL 1/2 X3""";TUBERIAS Y ACCESORIOS;;
3303;"NIPLE GALVANIZADO KAUDAL 3/4X1""";GRIFERIA;;
1708;ORRING 006;PARTES Y REPUESTOS;;
1709;ORRING 007;PARTES Y REPUESTOS;;
1710;ORRING 008;PARTES Y REPUESTOS;;
1711;ORRING 009;PARTES Y REPUESTOS;;
3267;PASADOR ALEMAN  21/2;CERRAJERIA Y SEGURIDAD;;
3269;PASADOR ALEMAN 3;CERRAJERIA Y SEGURIDAD;;
1765;PEGACOR GRIS MEGAPEGA X25K CORONA;CONSTRUCCION;;
1773;PEGANTE BOXER UNIVERSAL BOTELLA GYD;PEGANTES;;
1790;PIEDRA MOTORTOOL GRANDE UN;PARTES Y REPUESTOS;;
1791;PIEDRA MOTORTOOL PEQUEï¿½A UN;PARTES Y REPUESTOS;;
3313;PIEDRA REPUESTO ENCENDEDOR CHISPERO PAQ X 5;HERRAMIENTA MANUAL;;
1794;PILA 9V GP;ELECTRICOS;;
1823;PINTURA EN SPRAY NEGRO BRILLANTE 400ML PINTE;PINTURAS Y DISOLVENTES;;
1847;PISTOLA CALEFATEO ESQUELETO REF TRUPER;HERRAMIENTA MANUAL;;
1928;PULSADOR TIMBRE SENCILLO S/PONER DUOMO AVE;ELECTRICOS;;
1929;PUNTA PHILIPS N2 STANLEY;HERRAMIENTA MANUAL;;
2598;"PUNTILLA CON CABEZA  1"" UN";TORNILLERIA;;
3196CA;PUNTILLA CON CABEZA 2 X 400 GM;TORNILLERIA;;
3609;RAFIA MILENIO 3 MM (1000) 1M;SOGAS Y CADENAS;;
2005;"REMACHADORA PROFESIONAL 10"" TRUPER";HERRAMIENTA MANUAL;;
2069CA;REMACHE POP 6-6 3/16 X 1/2 CAJA;TORNILLERIA;;
2102;"RODILLO HILO BRICOLAGE 9"" GOYA";PINTURAS Y DISOLVENTES;;
2106;"RODILLO JUNIOR POLIESTER TH 2"" GOYA";PINTURAS Y DISOLVENTES;;
2107;"RODILLO JUNIOR POLIESTER TH 3"" GOYA";PINTURAS Y DISOLVENTES;;
2108;"RODILLO JUNIOR POLIESTER TH 4"" GOYA";PINTURAS Y DISOLVENTES;;
2109;"RODILLO JUNIOR POLIESTER TH 5"" GOYA";PINTURAS Y DISOLVENTES;;
3674;SILICONA SUPERFLEX ROJA 50ML LOCTITE;PEGANTES;;
2217;SILICONA EN TUBO TRANSPARENTE UNIFER;PEGANTES;;
2229;SOLDADURA 6013 1/8 1/2 K WEST ARCO;ABRASIVOS Y CONSUMIBLES;;
2248;"SOLDADURA ELECTRICA 6013 1/8"" 1K TRUPER";ABRASIVOS Y CONSUMIBLES;;
2251;"SOLDADURA ELECTRICA 6013 3/32"" 1K 50V TRUPER";ABRASIVOS Y CONSUMIBLES;;
2272;SOLDADURA PVC 1/128 ENAR;PEGANTES;;
2299;SOQUET T8 UN;ELECTRICOS;;
2301;SOSCO EXTENSION LAVAMANOS;GRIFERIA;;
2315;SUPER BONDER 3 GRAMOS LOCTITE;PEGANTES;;
3661;SUPER PEGA INTANTANEO 20G;PEGANTES;;
2380;TAPON OIDO REUTILIZABLE TRIPLE BARRERA TRUPER;DOTACION INDUSTRIAL;;
2446;TESTER CON CAIMAN TIPO ESFERO TRUPER;ELECTRICOS;;
2450;THINNER EXTRAFINO 1 BOTELLA 750CC;PINTURAS Y DISOLVENTES;;
3171;TIJERA PARA HOJALATERO PRETUL;HERRAMIENTA MANUAL;;
2470;TINTE WENGUE 200 CC SUPER;PINTURAS Y DISOLVENTES;;
3565;TOALLITAS  COLORES BORDADA;ASEO;;
2473;TOMA AEREA INDUSTRIAL 15 AMP  KONTIKI;ELECTRICOS;;
2476;TOMA DOBLE BLANCA MERCURY;ELECTRICOS;;
2478;TOMA DOBLE P/T BLANCA DUOMO AVE;ELECTRICOS;;
2483;TOMA SOBREPONER MULTIPLE 2-6 LITEWAY;ELECTRICOS;;
2538;"TORNILLO CR RO ZINC 3/16X1/2""UN";TORNILLERIA;;
2545;"TORNILLO CR RO ZINC 5/32X1""UN";TORNILLERIA;;
2550;"TORNILLO CR RO ZINC 5/32X21/2""UN";TORNILLERIA;;
2585;"TORNILLO DRYWALL 6X2"" UN";TORNILLERIA;;
2588;"TORNILLO DRYWALL 6X21/2"" UN";TORNILLERIA;;
2636;"TORNILLO HEX RO ZINC 1/2X2""UN";TORNILLERIA;;
2639;"TORNILLO HEX RO ZINC 1/4X1""UN";TORNILLERIA;;
2641;"TORNILLO HEX RO ZINC 1/4X11/2""UN";TORNILLERIA;;
2647;"TORNILLO HEX RO ZINC 3/8X1""UN";TORNILLERIA;;
2661;"TORNILLO HEX RO ZINC 5/16X11/4""UN";TORNILLERIA;;
2666;"TORNILLO HEX RO ZINC 5/16X31/2""UN";TORNILLERIA;;
2673;"TORNILLO HEX RO ZINC 7/16X11/2""UN";TORNILLERIA;;
2674;"TORNILLO HEX RO ZINC 7/16X2""UN";TORNILLERIA;;
2683C;"TORNILLO KLATH P/AGUDA 8X1/2""50";TORNILLERIA;;
2685D;"TORNILLO KLATH P/BROCA 8X1/2""DOC";TORNILLERIA;;
2745;"TORNILLO LAMINA 14X11/4"" UN";TORNILLERIA;;
2767C;"TORNILLO LAMINA 6X1"" 50";TORNILLERIA;;
2767;"TORNILLO LAMINA 6X1"" UN";TORNILLERIA;;
2791;"TORNILLO LAMINA 8X11/4"" UN";TORNILLERIA;;
2811;"TUBO CONDUIT SEMIPESADO 1/2""";TUBERIAS Y ACCESORIOS;;
2919;"TUERCA HEX RO 1/2"" UN";TORNILLERIA;;
2921D;"TUERCA HEX RO 1/4"" DOC";TORNILLERIA;;
2921;"TUERCA HEX RO 1/4"" UN";TORNILLERIA;;
2926;"TUERCA HEX RO 3/16"" UN";TORNILLERIA;;
2929D;"TUERCA HEX RO 3/8"" DOC";TORNILLERIA;;
2929;"TUERCA HEX RO 3/8"" UN";TORNILLERIA;;
2934;"TUERCA HEX RO 5/32"" UN";TORNILLERIA;;
2936D;"TUERCA HEX RO 7/16"" DOC";TORNILLERIA;;
2936;"TUERCA HEX RO 7/16"" UN";TORNILLERIA;;
2947;UNION 1/2 COBRE;TUBERIAS Y ACCESORIOS;;
2975;"UNION SANITARIO 11/2""";TUBERIAS Y ACCESORIOS;;
3001;"VALVULA BOLA PVC 1"" SOLDAR GRIVAL";TUBERIAS Y ACCESORIOS;;
3046;VIDRIO PARA CARETA NO 11;ABRASIVOS Y CONSUMIBLES;;
3047;VIDRIO PARA CARETA NO 12;ABRASIVOS Y CONSUMIBLES;;
3135;"VINIPEL-STRETCH 12"" X300MT";PEGANTES;;
3136;"VINIPEL-STRETCH 20"" X300MT";PEGANTES;;
3137;"VINIPEL-STRETCH 5"" X300MT";PEGANTES;;
3147;WIN PLASTICO TRADICIONAL BEIGE 2.2MT;PERFILES Y WINES;;
3702;BROCA ACERO HSS 5/32 NICHOLSON;ABRASIVOS Y CONSUMIBLES;;
3703;BROCA ACERO HSS 3/16 NICHOLSON;ABRASIVOS Y CONSUMIBLES;;
3709;PIN CHAVETA 5/32 X 3/4, 1, 11/4 y 11/2;HERRAJES Y SOPORTES;;
3710;PIN CHAVETA 1/8X 1, 11/4 y 11/2;HERRAJES Y SOPORTES;;
6;"ABRAZADERA 10-06 TITAN 3/4""";HERRAJES Y SOPORTES;;
7;"ABRAZADERA 10-08 TITAN 1""";HERRAJES Y SOPORTES;;
8;"ABRAZADERA 10-16 TITAN 11/2""";HERRAJES Y SOPORTES;;
3520;ABRAZADERA NAVIDEï¿½A;ABRASIVOS Y CONSUMIBLES;;
3D;GRAPA PARA MANGUERA LUCES DOC +CLAVO;HERRAJES Y SOPORTES;;
3;GRAPA.PARA MANGUERA LUCES UNIDAD + CLAVO;HERRAJES Y SOPORTES;;
9;ABRAZADERA REF ACERO INOX AB - 10;HERRAJES Y SOPORTES;;
10;ABRAZADERA REF ACERO INOX AB - 12;HERRAJES Y SOPORTES;;
11;ABRAZADERA REF ACERO INOX AB - 16;HERRAJES Y SOPORTES;;
12;ABRAZADERA REF ACERO INOX AB - 20;HERRAJES Y SOPORTES;;
13;ABRAZADERA REF ACERO INOX AB - 24;HERRAJES Y SOPORTES;;
14;ABRAZADERA REF ACERO INOX AB - 28;HERRAJES Y SOPORTES;;
15;ABRAZADERA REF ACERO INOX AB - 36;HERRAJES Y SOPORTES;;
16;ABRAZADERA REF ACERO INOX AB - 4;HERRAJES Y SOPORTES;;
17;ABRAZADERA REF ACERO INOX AB - 44;HERRAJES Y SOPORTES;;
18;ABRAZADERA REF ACERO INOX AB - 52;HERRAJES Y SOPORTES;;
19;ABRAZADERA REF ACERO INOX AB - 60;HERRAJES Y SOPORTES;;
20;ABRAZADERA REF ACERO INOX AB - 72;HERRAJES Y SOPORTES;;
21;ABRAZADERA REF ACERO INOX AB - 8;HERRAJES Y SOPORTES;;
22;ABRAZADERA REF ACERO INOX AB - 88;HERRAJES Y SOPORTES;;
23;ABRAZADERA REF ACERO INOX AB - 7;HERRAJES Y SOPORTES;;
24;ABRILLANTADOR DE LLANTAS 500ML FORTE;LUBRICANTES;;
26;ACEITE 3 EN 1 ORIGINAL 90ML G;LUBRICANTES;;
25;ACEITE 3 EN 1 ORIGINAL 30ML P;LUBRICANTES;;
27;ACEITE 3 EN 1 AEROSOL 162ML 5,5 Oz;LUBRICANTES;;
30;ACEITERA DE PIPETA FLEXIBLE 180 ML;HERRAMIENTA MANUAL;;
31;ACEITERA DE PIPETA FLEXIBLE 300 ML;HERRAMIENTA MANUAL;;
32;ACIDO MURIATICO 500 CC;ASEO;;
33;ACIDO MURIATICO GALON;ASEO;;
34;"ACOPLE RACOR BRONCE MACHO 1/2""";PARTES Y REPUESTOS;;
35;ACOPLE FLEXIBLE BOCHERINI;GRIFERIA;;
36;"ACOPLE RACOR BRONCE HEMBRA 1/2""";PARTES Y REPUESTOS;;
37;"ACOPLE RACOR HEMBRA BRONCE 1/4""";PARTES Y REPUESTOS;;
1313;"ACOPLE HEMBRA RAPIDO 1/4""";ABRASIVOS Y CONSUMIBLES;;
3177;ACOPLE LAVAMANOS 40 CM GRIVAL;GRIFERIA;;
38;ACOPLE LAVAMANOS CORTO ECO;GRIFERIA;;
39;ACOPLE LAVAMANOS CORTO PLAST GRIFOS;GRIFERIA;;
40;ACOPLE LAVAMANOS LARGO ECO;GRIFERIA;;
41;ACOPLE LAVAMANOS LARGO PLAST GRIFOS;GRIFERIA;;
42;ACOPLE LICUADORA MULTIMARCA;HOGAR Y COCINA;;
43;ACOPLE LICUADORA OSTER COMPLETO;HOGAR Y COCINA;;
44;ACOPLE LICUADORA OSTER CUADRANTE;HOGAR Y COCINA;;
45;"ACOPLE RACOR MACHO BRONCE 1/4""";PARTES Y REPUESTOS;;
1312;"ACOPLE MACHO RAPIDO 1/4""";ABRASIVOS Y CONSUMIBLES;;
46;ACOPLE RAPIDO COMPLETO;TUBERIAS Y ACCESORIOS;;
47;ACOPLE RACOR RAPIDO GRIFO-MANGUERA TRUPER;GRIFERIA;;
3178;ACOPLE SANITARIO 40 CM GRIVAL;GRIFERIA;;
48;ACOPLE SANITARIO CORTO ECO;GRIFERIA;;
49;ACOPLE SANITARIO CORTO PLAST GRIFOS;GRIFERIA;;
50;ACOPLE SANITARIO LARGO ECO;GRIFERIA;;
51;ACOPLE SANITARIO LARGO PLAST GRIFOS;GRIFERIA;;
52;"ACOPLE YEE DE ALUMINIO ENTRADA 3/4"" TRUPER";GRIFERIA;;
53;"ACOPLE YEE PLASTICO ENTRADA 3/4"" PRETUL";GRIFERIA;;
54;"ADAPTADOR HEMBRA CPVC 1/2""";TUBERIAS Y ACCESORIOS;;
55;"ADAPTADOR HEMBRA DE COBRE 1/2""";TUBERIAS Y ACCESORIOS;;
56;"ADAPTADOR HEMBRA PF UAD PAVCO 1/2""";TUBERIAS Y ACCESORIOS;;
57;"ADAPTADOR HEMBRA PVC 1""";TUBERIAS Y ACCESORIOS;;
58;"ADAPTADOR HEMBRA PVC 1/2""";TUBERIAS Y ACCESORIOS;;
59;"ADAPTADOR HEMBRA PVC 11/2""";TUBERIAS Y ACCESORIOS;;
60;"ADAPTADOR HEMBRA PVC 11/4""";TUBERIAS Y ACCESORIOS;;
61;"ADAPTADOR HEMBRA PVC 2""";TUBERIAS Y ACCESORIOS;;
62;"ADAPTADOR HEMBRA PVC 3/4""";TUBERIAS Y ACCESORIOS;;
63;"ADAPTADOR MACHO 1/2""";TUBERIAS Y ACCESORIOS;;
64;"ADAPTADOR MACHO CPVC 1/2""";TUBERIAS Y ACCESORIOS;;
65;"ADAPTADOR MACHO DE COBRE 1/2""";TUBERIAS Y ACCESORIOS;;
66;"ADAPTADOR MACHO PF UAD 1/2"" PAVCO";TUBERIAS Y ACCESORIOS;;
67;"ADAPTADOR MACHO PVC 1""";TUBERIAS Y ACCESORIOS;;
68;"ADAPTADOR MACHO PVC 11/2""";TUBERIAS Y ACCESORIOS;;
69;"ADAPTADOR MACHO PVC 11/4""";TUBERIAS Y ACCESORIOS;;
70;"ADAPTADOR MACHO PVC 2""";TUBERIAS Y ACCESORIOS;;
71;"ADAPTADOR MACHO PVC 3/4""";TUBERIAS Y ACCESORIOS;;
3311;ADAPTADOR RACHET 1/2 X 3/8;HERRAMIENTA MANUAL;;
72;"ADAPTADOR RATCHET M 1/2"" X 3/4""";HERRAMIENTA MANUAL;;
73;"ADAPTADOR RATCHET M 1/2"" X 3/8""";HERRAMIENTA MANUAL;;
3359;ADAPTADOR SIFON BLANCO PLASGRIFOS;TUBERIAS Y ACCESORIOS;;
75;AEROSOL WD 40 104 ML 3O ONZ;LUBRICANTES;;
260;AEROSOL WD 40 191 ML 5.5 ONZ;LUBRICANTES;;
81;AGITADOR DE PINTURA AZUL GOYA;PINTURAS Y DISOLVENTES;;
76;AGUASTOP PLASTICO RIOPLAST;GRIFERIA;;
3414;AGUASTOP VULCANIZADO ECO;PEGANTES;;
77;AGUASTOP VULCANIZADO RIOPLAST;GRIFERIA;;
1314;AGUJA CAPOTERA;ABRASIVOS Y CONSUMIBLES;;
78;AGUJA DE COSER A MANO PAï¿½O;PARTES Y REPUESTOS;;
79;AGUJA DE COSER A MANO UN;PARTES Y REPUESTOS;;
80;AGUJA PARA INFLAR BALON;PARTES Y REPUESTOS;;
3495;ALAMBRE N 10 COLORES 1MT PROCABLES;CONSTRUCCION;;
86;ALAMBRE N 12 COLORES 1MT PROCABLES;ELECTRICOS;;
3169;ALAMBRE N 12 DE COBRE DESNUDO;ELECTRICOS;;
87;ALAMBRE N 14 COLORES 1MT PROCABLES;ELECTRICOS;;
88;ALAMBRE N 14 DE COBRE DESNUDO 1MT;ELECTRICOS;;
3399C;ALAMBRE GALVANIZADO C-14 CHIPA 5V;CONSTRUCCION;;
3499;ALAMBRE GALVANIZADO C-14 KILO;CONSTRUCCION;;
83C;ALAMBRE GALVANIZADO C-18 CHIPA 8V;CONSTRUCCION;;
83;ALAMBRE GALVANIZADO C-18 KILO;CONSTRUCCION;;
85V;ALAMBRE NEGRO C-18 CHIPA 8V;CONSTRUCCION;;
85;ALAMBRE NEGRO C-18 KILO;CONSTRUCCION;;
89;ALCOHOL ANTISEPTICO (ETANOL 70%) 375ML 1/2B;HOGAR Y COCINA;;
90;ALCOHOL ANTISEPTICO (ETANOL 70%) 750ML 1B;HOGAR Y COCINA;;
92;ALCOHOL INDUSTRIAL (METANOL 80%) 750ML 1B;PINTURAS Y DISOLVENTES;;
3684;ALDABA PEQUEï¿½A;TORNILLERIA;;
93;"ALICATE CORTA FRIO MANGO PVC 6"" PRETUL";HERRAMIENTA MANUAL;;
94;"ALICATE ELECTRICISTA MANGO PVC 8"" PRETUL";HERRAMIENTA MANUAL;;
95;"ALICATE MINIATURA CORTA FRIO 4"" PRETUL";HERRAMIENTA MANUAL;;
101;"ALICATE MINIATURA PUNTA AGUJA 5""  PRETUL";HERRAMIENTA MANUAL;;
96;"ALICATE MINIATURA PUNTA LARGA 5"" PRETUL";HERRAMIENTA MANUAL;;
97;"ALICATE MINIATURA PUNTA REDONDA 5"" PRETUL";HERRAMIENTA MANUAL;;
104;"ALICATE MINIATURA TIPO TENAZA 4"" PRETUL";HERRAMIENTA MANUAL;;
99;"ALICATE PELACABLE 9"" PRETUL";HERRAMIENTA MANUAL;;
100;ALICATE PUNTA 90ï¿½ PARA CERRAR ANILLOS TUPER;HERRAMIENTA MANUAL;;
102;"ALICATE PUNTA LARGA 6"" MANGO PVC PRETUL";HERRAMIENTA MANUAL;;
103;"ALICATE SACABOCADO 9"" TRUPER";HERRAMIENTA MANUAL;;
107D;AMARRE PLASTICO NEGRO 7,6 X 40cm FORTE DOC;HERRAJES Y SOPORTES;;
107P;AMARRE PLASTICO NEGRO 7,6 X 40cm FORTE PAQ X 100;HERRAJES Y SOPORTES;;
147D;AMARRE PARA TEJA CORTO DOC;CONSTRUCCION;;
147C;AMARRE PARA TEJA CORTO PAQ X 100;CONSTRUCCION;;
147;AMARRE PARA TEJA CORTO UN;CONSTRUCCION;;
150D;AMARRE PARA TEJA LARGO DOC;CONSTRUCCION;;
150P;AMARRE PARA TEJA LARGO PAQ X 100;CONSTRUCCION;;
150;AMARRE PARA TEJA LARGO UN;CONSTRUCCION;;
3397P;AMARRE PICADO PAQUETE;HERRAJES Y SOPORTES;;
3397;AMARRE PICADO X UN;HERRAJES Y SOPORTES;;
151;AMARRE PLASTICO 120 CM VOLTECK UN;HERRAJES Y SOPORTES;;
152;AMARRE PLASTICO 45 CM VOLTECK BOLSA X 10;HERRAJES Y SOPORTES;;
153;AMARRE PLASTICO 45 CM VOLTECK UN;HERRAJES Y SOPORTES;;
154;AMARRE PLASTICO 70 CM VOLTECK BOLSA X 10;HERRAJES Y SOPORTES;;
155;AMARRE PLASTICO 70 CM VOLTECK UN;HERRAJES Y SOPORTES;;
156;AMARRE PLASTICO 90 CM VOLTECK UN;HERRAJES Y SOPORTES;;
3366;AMARRE PLASTICO BLANCO 4.8 X 30 cm FORTE  UN;HERRAJES Y SOPORTES;;
4584;AMARRE PLASTICO BLANCO 4.8 X 25cm FORTE UN;HERRAJES Y SOPORTES;;
3368;AMARRE PLASTICO BLANCO 4.8 X 37cmFORTE UN;HERRAJES Y SOPORTES;;
108;AMARRE PLASTICO BLANCO 7.6 X 40cm FORTE U;HERRAJES Y SOPORTES;;
110D;AMARRE PLASTICO N 10 BLANCO 2.4 DOC;HERRAJES Y SOPORTES;;
111C;AMARRE PLASTICO N 10 BLANCO 2.4 PAQ X 100;HERRAJES Y SOPORTES;;
111;AMARRE PLASTICO N 10 BLANCO 2.4 UN;HERRAJES Y SOPORTES;;
114D;AMARRE PLASTICO N 10 NEGRO 2.5 DOC;HERRAJES Y SOPORTES;;
114P;AMARRE PLASTICO N 10 NEGRO 2.5 PAQ X 100;HERRAJES Y SOPORTES;;
114;AMARRE PLASTICO N 10 NEGRO 2.5 UN;HERRAJES Y SOPORTES;;
117D;AMARRE PLASTICO N 15 BLANCO 25 DOC;HERRAJES Y SOPORTES;;
117P;AMARRE PLASTICO N 15 BLANCO 25 PAQ X 100;HERRAJES Y SOPORTES;;
117;AMARRE PLASTICO N 15 BLANCO 25 U;HERRAJES Y SOPORTES;;
120D;AMARRE PLASTICO N 15 NEGRO 2.5 DOC;HERRAJES Y SOPORTES;;
120P;AMARRE PLASTICO N 15 NEGRO 2.5 PAQ X 100;HERRAJES Y SOPORTES;;
123D;AMARRE PLASTICO N 20 BLANCO 3.6 DOC;HERRAJES Y SOPORTES;;
123P;AMARRE PLASTICO N 20 BLANCO 3.6 PAQ X 100;HERRAJES Y SOPORTES;;
123;AMARRE PLASTICO N 20 BLANCO 3.6 U;HERRAJES Y SOPORTES;;
